"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«Myslo.ru» — тульский городской портал","myslo.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","3110","4000","00:02:43","0.0","447"
"Клуб любителей дачи 7dach.ru","7dach.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Сообщества","да","3071","3700","00:01:39","0.0","355"
"Зачатие, беременность, роды и ребенок на сайте для мам...","mama66.ru","Семья и дети->Беременность и роды, Семья и дети","Сообщества","да","2946","3700","00:01:07","0.0","378"
"«Доктор Питер» — информационный сайт о здоровье","doctorpiter.ru","Медицина->Медицинские услуги, Услуги->Медицинские услуги, Услуги, Медицина","Контентные проекты","да","2905","3600","00:00:45","0.0","345"
"«Культура» — телевизионный канал","tvkultura.ru","Новости и СМИ, Новости и СМИ->Телевидение","Представительства бизнесов и организаций","да","2902","3650","00:03:22","0.0","442"
"GQ — мужской журнал","gq.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","2898","3800","00:02:36","0.0","368"
"Look at me — сайт о креативных индустриях","lookatme.ru","Новости и СМИ, Новости и СМИ->Новости технологий","Контентные проекты","да","2820","3800","00:00:18","0.0","332"
"Вокруг света — познавательный портал","vokrugsveta.ru","Путешествия->Страны, города, достопримечательности, Путешествия","Контентные проекты","да","2817","3700","00:01:10","0.0","341"
"Неизведанный мир магии и эзотерики","tayniymir.com","Непознанное->Мистика и эзотерика, Непознанное","Контентные проекты","да","2734","3500","00:01:17","0.0","363"
"Chip — компьютерный журнал","ichip.ru","Техника и технологии, Техника и технологии->Новости Hi-Tech","Контентные проекты","да","2694","3450","00:00:56","0.0","308"
"Строительный портал Центральный полигон Centro-pol.ru","centro-pol.ru","Строительство и ремонт->Строительные материалы и оборудование, Строительство и ремонт","Контентные проекты","да","2656","3300","00:01:23","0.0","308"
"78.ru | Официальный сайт телеканала | Новости политики...","78.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","2490","3000","00:00:55","0.0","290"
"Детские пособия в 2018 году - вся информация о выплатах...","posobie-expert.ru","Государство и общество, Государство и общество->Органы социальной защиты","Контентные проекты","да","2444","3150","00:03:32","0.0","350"
"Дом 2 последние новости и слухи на 6 дней раньше – Шлок","schlock.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Новости","да","2356","3000","00:09:59","0.0","486"
"Женский интернет-журнал","greatlove.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","2324","2900","00:00:56","0.0","295"
"«Tatler» — журнал о светской жизни и знаменитостях","tatler.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","2322","3250","00:01:47","0.0","313"
"INMYROOM – Все о дизайне интерьера, свежие идеи...","inmyroom.ru","Строительство и ремонт->Дизайн интерьера, Строительство и ремонт","Контентные проекты","да","2312","3300","00:05:38","0.0","340"
"Eurasia Daily — информационное агентство","eadaily.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","2282","2800","00:01:42","0.0","281"
"«Newsru.com» — новостной портал","newsru.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","2236","2750","00:05:13","0.0","335"
"«Аргументы недели» — еженедельная газета","argumenti.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","2116","2550","00:01:00","0.0","253"
"Новости Уфы и Республики Башкортостан: GTRK.TV","gtrk.tv","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","2033","2500","00:00:33","0.0","267"
"«Burdastyle.ru» — мода своими руками","burdastyle.ru","Здоровье, красота, стиль->Одежда, обувь, аксессуары, Здоровье, красота, стиль, Торговля->Одежда, обувь, аксессуары, Торговля","Контентные проекты","да","1988","2550","00:02:25","0.0","267"
"Здоровьесберегающий сайт","polismed.com","Медицина->Болезни, Медицина","Контентные проекты","да","1982","2800","00:01:37","0.0","229"
"Независимое интернет-издание ""ДНИ24""","dni24.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","1947","2550","00:01:13","0.0","294"
"«Вести Экономика» — аналитические материалы","vestifinance.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Новости","да","1906","2400","00:02:11","0.0","230"
"Купить билеты на междугородний автобус онлайн...","yandex.ru/bus","","Сервисы","да","1859","2350","00:03:03","0.04878048780487805","234"
"Автоновости дня - авто журнал АвтоВзгляд","avtovzglyad.ru","Авто и мото->Издания об автомобилях, Авто и мото, Новости и СМИ->Издания об автомобилях, Новости и СМИ","Контентные проекты","да","1826","2300","00:01:07","0.0","216"
"«Фонтанка.ру» — петербургская интернет-газета","fontanka.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","1826","2200","00:01:29","0.0","216"
"«Forumhouse.ru» — форум для дома и дачи","forumhouse.ru","Строительство и ремонт->Советы и рекомендации по строительству, Строительство и ремонт","Сообщества","да","1783","2250","00:07:06","0.0","244"
"DIWIS | Женский журнал. Последние новости ДОМ...","diwis.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","1743","2200","00:00:55","0.0","193"
"Живи — велнес-портал","jv.ru","Спорт и активный образ жизни->Фитнес и бодибилдинг, Здоровье, красота, стиль, Спорт и активный образ жизни, Здоровье, красота, стиль->Фитнес и бодибилдинг","Контентные проекты","да","1743","2100","00:01:56","0.0","216"
"Женский журнал Женомания. Сайт для девушек и женщин","zhenomaniya.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","1743","2150","00:01:01","0.0","216"
"АгроСервер.ру — информационная поддержка сельского...","agroserver.ru","Промышленность и сельское хозяйство->Сельское хозяйство, Промышленность и сельское хозяйство","Агрегаторы","да","1660","2100","00:05:05","0.0","212"
"Своими руками - Поделись своими работами!","cpykami.ru","Развлечения и отдых, Развлечения и отдых->Хобби","Контентные проекты","да","1660","2050","00:02:36","0.0","216"
"Погода в России. Точный прогноз на сегодня, завтра...","weather.rambler.ru","Справочные ресурсы, Справочные ресурсы->Погода","Сервисы","да","1647","2250","00:01:26","0.0","276"
"Бесплатные объявления России - Доска объявлений Gde.ru","gde.ru","Услуги","Агрегаторы","да","1618","2000","00:02:44","0.0","193"
"Журнал о здоровье MedPulse.Ru","medpulse.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Здоровый образ жизни, Медицина","Контентные проекты","да","1618","1950","00:00:50","0.0","189"
"Скачать взломанные игры и моды на Андроид бесплатно","alpha-ag.ru","Развлечения и отдых->Игры, Развлечения и отдых","Контентные проекты","да","1577","1900","00:01:48","0.0","207"
"ДомКадров.ру: поиск работы, поиск сотрудников","domkadrov.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","1574","2150","00:04:10","0.0","198"
"Главная - Агроному.com","agronomu.com","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","1535","1950","00:01:36","0.0","184"
"Яндекс.Диалоги — доверьте общение с клиентами Алисе","dialogs.yandex.ru","Услуги","Сервисы","да","1535","2000","00:00:57","0.0","170"
"Фактрум — познавательный блог","factroom.ru","Развлечения и отдых, Развлечения и отдых->Юмор и Комиксы","Контентные проекты","да","1535","1900","00:01:00","0.0","193"
"Ferra — интернет-издание - Ferra.ru","ferra.ru","Техника и технологии","Контентные проекты","да","1535","1900","00:00:29","0.0","175"
"Poezdato.net - расписание поездов и электричек в России...","poezdato.net","Путешествия->Авиа и ж/д билеты, Путешествия","Агрегаторы","да","1535","1900","00:02:38","0.0","221"
"SnatchNews - новостной портал","sntch.com","Новости и СМИ","Новости","да","1535","1950","00:01:26","0.0","193"
"DISGUSTING MEN. Отвратительные мужики. 18+","disgustingmen.com","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","1452","1850","00:01:26","0.0","193"
"«Playboy» — журнал","playboyrussia.com","Для взрослых (18+), Для взрослых (18+)->Литература 18+","Контентные проекты","да","1411","1700","00:01:04","0.0","166"
"Car.ru — автомобильный портал","car.ru","Авто и мото->Издания об автомобилях, Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Новости и СМИ->Издания об автомобилях, Новости и СМИ, Авто и мото->Автомобили, Торговля","Контентные проекты","да","1409","1750","00:03:41","0.0","198"
"Идеи вашего дома — журнал о ремонте и дизайне","ivd.ru","Домашнее хозяйство->Товары для дома и интерьера, Домашнее хозяйство","Контентные проекты","да","1369","1800","00:03:32","0.0","184"
"«Newsland» — новостная социальная сеть","newsland.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","1369","1650","00:01:57","0.0","156"
"GMbox.ru — игровой медиа-портал","gmbox.ru","Развлечения и отдых->Компьютерные игры, Развлечения и отдых","Контентные проекты","да","1286","1550","00:01:21","0.0","156"
"Avia.pro - портал по авиации №1","avia.pro","Транспорт, перевозки, Транспорт, перевозки->Воздушный транспорт","Контентные проекты","да","1245","1500","00:01:06","0.0","161"
"Рамблер/поиск","nova.rambler.ru","","Сервисы","да","1235","1600","00:34:53","0.0","391"
"Алиса — ваш голосовой помощник, созданный в Яндексе","alice.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","1203","1450","00:02:14","0.0","147"
"Тенденции и тренды женской моды на 2018 год: пальто...","moddam.ru","Здоровье, красота, стиль->Гид по стилю, советы и уроки, Здоровье, красота, стиль","Контентные проекты","да","1203","1550","00:01:01","0.0","161"
"ОПТИМИСТ - не жалею, не зову, не плачу.","oppps.ru","Справочные ресурсы","Контентные проекты","да","1203","1550","00:00:54","0.0","138"
"«Колёса» — автомобильный онлайн-журнал","kolesa.ru","Авто и мото->Издания об автомобилях, Авто и мото, Новости и СМИ->Издания об автомобилях, Новости и СМИ","Контентные проекты","да","1162","1450","00:02:02","0.0","138"
"Online812.ru - Город 812 — сетевой журнал","online812.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","1162","1450","00:01:07","0.0","133"
"Яндекс.Интернетометр — проверка скорости интернета","yandex.ru/internet","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","1155","1600","00:02:37","0.0","142"
"Макспарк - Гайдпарк — социальная сеть","maxpark.com","Новости и СМИ, Новости и СМИ->Газеты, журналы","Социальные сети","да","1120","1400","00:02:32","0.0","129"
"Водоснабжение и канализация дома, квартиры...","vodakanazer.ru","Строительство и ремонт","Контентные проекты","да","1120","1400","00:01:25","0.0","133"
"Architectural digest | AD Magazine","admagazine.ru","Строительство и ремонт->Дизайн интерьера, Культура и искусство, Строительство и ремонт, Новости и СМИ","Контентные проекты","да","1118","1450","00:02:58","0.0","138"
"Пасьянсы онлайн: «Косынка», «Паук», «Коврик» и другие.","razlozhi.ru","Развлечения и отдых->Компьютерные игры, Развлечения и отдых","Онлайн-игры","да","1079","1350","04:16:08","0.0","387"
"Секрет фирмы — интернет-журнал о бизнесе","secretmag.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Контентные проекты","да","1073","1450","00:02:58","0.0","129"
"«74.ру» — челябинский портал","74.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","1037","1350","00:03:21","0.0","115"
"Веб Телеграмм онлайн с прокси, proxy для России.","телеграмм.онлайн","Услуги","Социальные сети","да","1035","1300","01:00:12","0.0","253"
"Драйв — автомобильный интернет-журнал","drive.ru","Авто и мото, Авто и мото->Автомобили","Контентные проекты","да","1032","1300","00:01:27","0.0","129"
"Конт — платформа для социальной журналистики","cont.ws","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Сообщества","да","996","1350","00:08:09","0.0","129"
"PartPrice.ru - Сервис сравнения цен и отзывов...","partprice.ru","","Агрегаторы","да","996","1200","00:02:36","0.0","119"
"Кьюто.ру — помощь в выборе нового автомобиля","quto.ru","Авто и мото, Авто и мото->Автомобили","Агрегаторы","да","996","1200","00:00:38","0.0","119"
"Последние новости Москвы, события и все развлечения...","moslenta.ru","Новости и СМИ","Новости","да","913","1200","00:00:42","0.0","115"
"«V1.ru» — информационный портал Волгограда","v1.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","913","1100","00:01:06","0.0","106"
"Новости Воронежа и Воронежской области | Последние...","vestivrn.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","913","1150","00:01:01","0.0","133"
"«Анекдотов.net» — развлекательный портал","anekdotov.net","Развлечения и отдых, Развлечения и отдых->Юмор и Комиксы","Контентные проекты","да","871","1050","00:08:49","0.0","166"
"Фермилон: дача, сад, огород, фермерство, земледелие","fermilon.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","871","1100","00:04:35","0.0","106"
"«Gorod48.ru» — информационный портал г. Липецка","gorod48.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","871","1050","00:07:50","0.0","142"
"Гражданину.com | Налоги и право для физических лиц","grazhdaninu.com","Государство и общество, Государство и общество->Законодательство","Контентные проекты","да","871","1050","00:00:45","0.0","101"
"«NaMenu.ru» — кулинарный сайт","namenu.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","871","1150","00:01:50","0.0","96"
"Вести ФМ — радиостанция","radiovesti.ru","Новости и СМИ","Новости","да","871","1050","00:01:57","0.0","115"
"«Soccer.ru» — новости футбола России и Европы","soccer.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","871","1200","00:06:39","0.0","138"
"«Новый Калининград.ru» — городской портал","newkaliningrad.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","830","1000","00:01:32","0.0","106"
"«Yoki.Ru» — развлекательный портал","yoki.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","830","1000","00:00:53","0.0","106"
"Строительство деревянных домов и коттеджей из бруса...","build-experts.ru","Строительство и ремонт->Строительное проектирование и технадзор, Строительство и ремонт","Контентные проекты","да","788","950","00:01:14","0.0","96"
"«НГС.Красноярск» — городской портал Красноярска","ngs24.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","788","950","00:00:23","0.0","92"
"«Счастливые родители» — энциклопедия материнства","parents.ru","Семья и дети, Семья и дети->Развитие и воспитание детей","Контентные проекты","да","788","1100","00:00:41","0.0","96"
"Футбол России","rusfootball.info","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Контентные проекты","да","788","1000","00:03:21","0.0","147"
"Сделай сам своими руками - поделки и мастер-классы","sdelaysam-svoimirukami.ru","Справочные ресурсы","Контентные проекты","да","788","950","00:04:18","0.0","92"
"Глобус24 - образование для всех","globuss24.ru","Образование->Учебно-методические материалы, Образование","Контентные проекты","да","781","1100","00:00:31","0.0","100"
"Мотор — автомобильный портал — Motor","motor.ru","Авто и мото, Авто и мото->Автомобили","Контентные проекты","да","747","900","00:02:27","0.0","87"
"«MyLove.ru» — сайт знакомств","mylove.ru","Развлечения и отдых->Знакомства и общение, Развлечения и отдых","Социальные сети","да","747","1000","00:22:42","0.0","115"
"НУ И ПОГОДА: Погода в России и Мире. Точный прогноз...","nuipogoda.ru","Справочные ресурсы, Справочные ресурсы->Погода","Сервисы","да","747","1000","00:01:20","0.0","106"
"Яндекс.Календарь — онлайн-органайзер","calendar.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","742","1000","00:00:34","0.0","110"
"Bouw.ru - строительный портал","bouw.ru","Строительство и ремонт->Советы и рекомендации по строительству, Строительство и ремонт","Контентные проекты","да","705","900","00:01:04","0.0","83"
"Папарацци.ру - новости шоу-бизнеса","paparazzi.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","705","850","00:04:57","0.0","133"
"Журнал о здоровье Здоровый дух","pora.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Здоровый образ жизни","Контентные проекты","да","705","850","00:00:54","0.0","83"
"Вязание крючком и спицами: схемы, мастер-классы, видео","verena.ru","Здоровье, красота, стиль","Контентные проекты","да","705","850","00:05:01","0.0","133"
"«Зайцев.FM» — музыкальная онлайн-радиостанция","zaycev.fm","Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Сервисы","да","705","850","00:08:03","0.0","175"
"АвтоТочки — справочник автолюбителя","avtotochki.ru","Авто и мото, Авто и мото->Автомобили","Агрегаторы","да","664","850","00:02:48","0.0","73"
"«Евро-футбол.ру» — новости футбола России и Европы","euro-football.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","664","850","00:01:30","0.0","106"
"Инструкции и отзывы к лекарственным препаратам","instrukciya-otzyvy.ru","Медицина->Лекарства и медицинские товары, Торговля->Лекарства и медицинские товары, Медицина, Торговля","Контентные проекты","да","664","800","00:00:25","0.0","73"
"Машинтоп - автомобильный портал","mashintop.ru","Авто и мото, Авто и мото->Автомобили","Контентные проекты","да","664","850","00:00:59","0.0","78"
"«76.ru» — городской портал Ярославля","76.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","661","850","00:05:38","0.0","106"
"Игры онлайн на 146% бесплатно","game01.ru","Развлечения и отдых->Игры, Развлечения и отдых","Онлайн-игры","да","661","850","00:30:09","0.0","91"
"Прайм — агентство экономической информации","1prime.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Новости","да","622","800","00:01:14","0.0","78"
"Новости Перми - 59.ru главные новости сегодня","59.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","622","750","00:00:35","0.0","69"
"Бизнес-справочник ""UNFALL""","unfall.ru","Бизнес->Организация бизнеса, Бизнес","Контентные проекты","да","622","850","00:00:49","0.0","69"
"«161.ru» — информационный портал Ростова-на-Дону","161.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","581","700","00:00:54","0.0","87"
"«Fanat1k.ru» — сайт болельщиков «Спартака»","fanat1k.ru","","Контентные проекты","да","581","850","01:33:14","0.0","207"
"Секреты домоводства – полезные советы хозяйкам","hozsekretiki.ru","Домашнее хозяйство","Контентные проекты","да","581","700","00:01:28","0.0","83"
"Новости ДНР, ЛНР, Мира и Украины. Новостной Фронт","news-front.info","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","581","700","00:02:05","0.0","87"
"«Goodwill» — автоматизация бизнеса","programmist1s.ru","Торговля","Представительства бизнесов и организаций","да","581","800","00:01:42","0.0","83"
"«Cорок семь новостей из Ленинградской области»","47news.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","539","650","00:00:51","0.0","64"
"«63.ru» — сайт для жителей Самарской области","63.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","539","650","00:02:50","0.0","64"
"«72.ru» — Тюменский портал","72.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","539","700","00:00:43","0.0","69"
"«Авторамблер» — автомобильный портал","autorambler.ru","Авто и мото->Издания об автомобилях, Авто и мото, Новости и СМИ->Издания об автомобилях, Новости и СМИ","Контентные проекты","да","539","650","00:00:48","0.0","59"
"Рецепты с фото","ej-ka.net","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","539","650","00:01:25","0.0","59"
"«Клопс.ru» — калининградский новостной портал","klops.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","539","700","00:00:37","0.0","59"
"Полезные советы на все случаи жизни, для дома, сада...","nashsovetik.ru","Домашнее хозяйство","Контентные проекты","да","539","750","00:01:21","0.0","78"
"«PassionForum.ru» — сообщество рукодельниц","passionforum.ru","Развлечения и отдых, Развлечения и отдых->Хобби","Сообщества","да","539","650","00:01:14","0.0","92"
"Недвижимость RealtyMag — 2 011 986 объектов на...","realtymag.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","539","700","00:05:55","0.0","78"
"Идеономика – Умные о главном","ideanomics.ru","Бизнес","Контентные проекты","да","498","800","00:02:05","0.0","73"
"Поплавок","poplawok.ru","Развлечения и отдых, Развлечения и отдых->Хобби","Контентные проекты","да","498","600","00:00:47","0.0","64"
"«Ufa1.ru» — информационный портал Уфы","ufa1.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","498","600","00:01:13","0.0","59"
"Вести-Кузбасс","vesti42.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","498","650","00:00:36","0.0","55"
"Рамблер/помощь","help.rambler.ru","Справочные ресурсы","Контентные проекты","да","479","750","00:02:11","0.0","69"
"Новости Архангельска - 29.ru главные новости сегодня","29.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","456","550","00:03:01","0.0","73"
"Интересные новости OAnews","oane.ws","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","456","550","00:00:39","0.0","55"
"Охотники.ру — портал для любителей охоты","ohotniki.ru","Развлечения и отдых, Развлечения и отдых->Хобби","Контентные проекты","да","456","550","00:00:17","0.0","50"
"Orchardo.ru - создайте участок вашей мечты...","orchardo.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","456","600","00:00:29","0.0","55"
"«Orsk.ru» — информационно-развлекательный портал","orsk.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","456","550","00:02:00","0.0","50"
"«Камелот» — доска объявлений","cmlt.ru","Торговля","Агрегаторы","да","415","500","00:07:07","0.0","50"
"Меню на каждый праздник. Что приготовить на день...","every-holiday.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","415","500","00:01:06","0.0","46"
"НГС.Омск — городской портал","ngs55.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","415","550","00:01:47","0.0","50"
"Русская весна | Только проверенная информация","rusvesna.su","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","415","500","01:09:03","0.0","101"
"Футбол онлайн, прямые трансляции... - LiveResult","liveresult.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Видео","да","373","450","00:03:49","0.0","46"
"«Rambler News Service» — информационное агентство","rns.online","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","373","500","00:01:16","0.0","46"
"Тамбов — телерадиокомпания","vestitambov.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","373","450","00:00:40","0.0","50"
"Ответы на сканворды и кроссворды онлайн.","crossopen.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Сервисы","да","332","400","00:00:30","0.0","41"
"Яндекс.Фотки — хостинг фотографий","fotki.yandex.ru","","Сервисы","да","332","400","00:00:29","0.0","36"
"Moneytimes.Ru: Интернет-журнал о финансах","moneytimes.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Новости","да","332","400","00:00:20","0.0","36"
"«Маяк» — радиовещательная компания","radiomayak.ru","Новости и СМИ","Новости","да","332","450","00:02:37","0.0","36"
"Росработа — работа в Москве и области","rosrabota.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","332","400","00:02:55","0.0","36"
"Здоровые сосуды, лечение и профилактика","sosud-ok.ru","Медицина->Медицинские услуги, Услуги->Медицинские услуги, Услуги, Медицина","Контентные проекты","да","332","400","00:01:04","0.0","41"
"«Стройпортал.ру» — отраслевой портал","stroyportal.ru","Строительство и ремонт->Строительные материалы и оборудование, Строительство и ремонт","Контентные проекты","да","332","400","00:03:09","0.0","41"
"Ранобэ и Новеллы читать онлайн на русском","ранобэ.рф","Развлечения и отдых","Контентные проекты","да","326","450","05:39:25","0.0","161"
"ДачаДекор: Ландшафтный дизайн дачного участка своими...","dachadecor.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","290","350","00:00:26","0.0","32"
"ELLE Decoration - Дизайн интерьера квартир: гостиной...","elledecoration.ru","Строительство и ремонт->Дизайн интерьера, Строительство и ремонт","Контентные проекты","да","290","350","00:04:35","0.0","41"
"FrequentFlyers.ru – Сайт для продвинутых авиапассажиров","frequentflyers.ru","Путешествия->Авиа и ж/д билеты, Путешествия","Новости","да","290","350","00:00:29","0.0","32"
"Ремонт квартир, офисов, домов","repairshome.ru","Строительство и ремонт->Советы и рекомендации по строительству, Строительство и ремонт","Контентные проекты","да","290","350","00:01:06","0.0","32"
"Salon-interior — журнал по дизайну интерьера","salon.ru","Строительство и ремонт->Дизайн интерьера, Строительство и ремонт","Контентные проекты","да","290","400","00:01:37","0.0","36"
"Газета Труд : Труд — общественно-политическая газета","trud.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","290","400","00:00:27","0.0","32"
"В городе N — портал Нижнего Новгорода","vgoroden.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","290","400","00:00:37","0.0","32"
"Все о рынке 3D печати на 3DList.ru Россия.","3dlist.ru","","Контентные проекты","да","249","300","00:00:21","0.0","27"
"Инфоцентр AfterShock • Каким будет завтра?","aftershock.news","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","249","350","00:01:48","0.0","27"
"«Cars.ru» — автопортал","cars.ru","Авто и мото, Авто и мото->Автомобили","Агрегаторы","да","249","350","00:01:18","0.0","27"
"«CarsGuru.net» — автомобильный портал","carsguru.net","Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Торговля","Агрегаторы","да","249","300","00:03:07","0.0","27"
"«InoPressa» — материалы зарубежной прессы","inopressa.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","249","300","00:06:55","0.0","69"
"N1.Недвижимость","n1.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","249","300","00:05:45","0.0","27"
"ОКО ПЛАНЕТЫ информационно-аналитический портал","oko-planet.su","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","249","300","00:02:36","0.0","27"
"Российские аналоги импортных лекарств","rusanalogi.ru","Медицина->Лекарства и медицинские товары, Торговля->Лекарства и медицинские товары, Медицина, Торговля","Контентные проекты","да","249","300","00:00:27","0.0","32"
"Сделано у нас - Нам есть чем гордиться! - Сделано у нас","sdelanounas.ru","Новости и СМИ, Новости и СМИ->Новости технологий","Контентные проекты","да","249","300","00:02:28","0.0","27"
"Тарифы 2018 года для Билайн, МТС, Мегафон...","tarifam.ru","Техника и технологии, Техника и технологии->Телефония и мобильная связь","Контентные проекты","да","249","350","00:00:38","0.0","27"
"Яндекс.Путешествия — сервис поиска туров и отелей","travel.yandex.ru","Путешествия->Туры и экскурсии, Путешествия","Агрегаторы","да","249","350","00:04:08","0.0","27"
