"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«Аргументы и факты» — газета | aif.ru","aif.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","35172","45800","00:01:11","0.0","4668"
"«Wday.ru» — информационный женский портал","wday.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","33298","46700","00:03:47","0.0","4277"
"Найдем тех, кто даст ответы на ваши вопросы. Более 200...","thequestion.ru","Новости и СМИ","Сообщества","да","32423","43000","00:03:34","0.0","5176"
"«Авто.ру» — автомобильный портал","auto.ru","Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Торговля","Агрегаторы","да","31581","45350","00:31:49","0.4439716312056737","6716"
"Rlsnet.ru — энциклопедия лекарств","rlsnet.ru","Справочные ресурсы, Справочные ресурсы->Энциклопедии","Контентные проекты","да","29491","38350","00:04:01","0.0","4751"
"«Повар.ру» — кулинарные рецепты","povar.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","28726","36600","00:02:55","0.0","4032"
"«РосБизнесКонсалтинг» — информационное агентство","rbc.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","28281","37900","00:04:57","0.027070063694267517","4710"
"«Газета.ru» — интернет-газета","gazeta.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","27798","36900","00:03:00","0.0","4384"
"«Еда» — кулинарный портал","eda.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","27508","34400","00:02:41","0.0","3751"
"«7я.ру» — портал о детях и семье","7ya.ru","Семья и дети, Семья и дети->Развитие и воспитание детей","Контентные проекты","да","26668","34100","00:01:23","0.0","3590"
"Московский Комсомолец (МК) — газета","mk.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","26656","34200","00:02:18","0.0","4124"
"Женский журнал WomanAdvice.ru - советы на все случаи...","womanadvice.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","26626","34550","00:02:15","0.0","3618"
"«Кино-театр.ру» — портал о кино и театре","kino-teatr.ru","Культура и искусство, Культура и искусство->Кино","Новости","да","26360","34950","00:03:26","0.0","3881"
"«The Village» — городская интернет-газета","the-village.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","24769","34800","00:04:33","0.0","4107"
"«Узнай все» — ежедневное электронное издание","uznayvse.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","23168","30350","00:01:56","0.0","3143"
"«Life.ru» — информационный портал","life.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","21190","27100","00:02:34","0.0","3188"
"Рамблер/гороскопы","horoscopes.rambler.ru","Непознанное->Астрология и гороскопы, Непознанное","Контентные проекты","да","20909","27450","00:02:34","0.0","3056"
"SYL.ru","syl.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","20464","27200","00:01:41","0.0","2572"
"Рамблер.Касса — продажа электронных билетов","kassa.rambler.ru","Развлечения и отдых, Развлечения и отдых->Афиша и продажа билетов","Сервисы","да","20256","26550","00:05:14","0.0","2811"
"«Russia Today» — телеканал","rt.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","19487","25250","00:02:06","0.0","2967"
"Starhit.ru — портал о жизни звезд","starhit.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","19458","25200","00:03:06","0.0","3426"
"«Ярмарка Мастеров» — гипермаркет авторских работ","livemaster.ru","Здоровье, красота, стиль->Одежда, обувь, аксессуары, Здоровье, красота, стиль, Торговля->Одежда, обувь, аксессуары, Торговля","Интернет-магазины","да","18552","24650","00:08:52","0.0","2780"
"«Известия.Ru» — ежедневная газета | IZ.RU","iz.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","17333","22350","00:01:20","0.0","2502"
"Читать мангу на Русском онлайн. Свежие переводы.","readmanga.me","Развлечения и отдых, Развлечения и отдых->Юмор и Комиксы","Контентные проекты","да","16368","26100","02:52:25","0.0","5958"
"ELLE.ru – мода, красота, тренды, звезды, отношения","elle.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","16065","21200","00:02:45","0.0","2152"
"Дом солнца — эзотерический портал","sunhome.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","15743","21150","00:03:13","0.0","2033"
"«НТВ» — телекомпания","ntv.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","14327","18550","00:03:22","0.024615384615384615","1986"
"MSN Россия | Новости, фото, погода, Skype и Outlook","msn.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","14182","19150","00:16:11","0.0","3462"
"Коммерсантъ — издательский дом","kommersant.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","14181","18750","00:04:13","0.0","2114"
"«Passion.ru» — онлайн-журнал для женщин","passion.ru","Здоровье, красота, стиль","Контентные проекты","да","13765","17250","00:02:00","0.0","1714"
"«Астромеридиан» — астрологический портал","astromeridian.ru","Непознанное->Астрология и гороскопы, Непознанное","Контентные проекты","да","13723","17400","00:01:37","0.0","1834"
"Чемпионат.com: новости спорта - Чемпионат","championat.com","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","13313","17500","00:09:17","0.0","2106"
"Attuale.ru","attuale.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","13277","16600","00:02:05","0.0","1682"
"Фильм Про — кинопортал","filmpro.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","12961","16550","00:01:27","0.0","1645"
"Сравни.ру — выбор услуг банков и автострахования","sravni.ru","Финансы->Финансовые рынки, Финансы","Агрегаторы","да","12928","16450","00:01:48","0.0","1668"
"Яндекс.Недвижимость — система поиска недвижимости","realty.yandex.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","12742","16600","00:13:02","0.23208191126279865","2009"
"«LiveInternet» — сервис для блоггеров","liveinternet.ru","","Контентные проекты","да","12711","17250","00:03:45","0.0","1807"
"Тонкости туризма — энциклопедия для туристов","tonkosti.ru","Путешествия->Туры и экскурсии, Путешествия","Контентные проекты","да","12708","16200","00:03:01","0.0","1662"
"Дни.ру – влиятельная российская интернет-газета","dni.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","12272","15400","00:03:26","0.0","2070"
"«Sports.ru» — спортивный портал","sports.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","11908","16350","00:20:28","0.18081180811808117","2668"
"«Film.ru» — национальный кинопортал","film.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Контентные проекты","да","11892","15500","00:01:05","0.0","1414"
"«Сплетник» — сайт о знаменитостях и светской жизни","spletnik.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Контентные проекты","да","11840","16150","00:09:20","0.0","1785"
"Wonderzine — онлайн-издание для девушек","wonderzine.com","Здоровье, красота, стиль->Гид по стилю, советы и уроки, Здоровье, красота, стиль","Контентные проекты","да","11686","16200","00:06:00","0.0","2052"
"Elle girl — журнал для девушек","ellegirl.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","11383","16850","00:03:30","0.0","1663"
"Яндекс.Работа — система поиска работы","rabota.yandex.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","11288","15100","00:10:23","0.08984375","1644"
"Drive2.ru — сообщество автовладельцев","drive2.ru","Авто и мото, Авто и мото->Автомобили","Сообщества","да","11126","14400","00:07:07","0.015873015873015872","1631"
"У нас можно читать Мангу для взрослых онлайн на Русском.","mintmanga.com","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","11043","19300","02:57:40","0.0","4024"
"Новости InfoNIAC.ru","infoniac.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","10775","13650","00:01:24","0.0","1318"
"Яндекс.Район — не пропустите полезное рядом","yandex.ru/local","Справочные ресурсы, Справочные ресурсы->Карты и схемы","Сообщества","да","10638","13650","00:03:23","0.0","1738"
"Форум программистов и сисадминов Киберфорум","cyberforum.ru","Техника и технологии, Техника и технологии->Программирование и разработка ПО","Сообщества","да","10251","14150","00:06:26","0.0","1538"
"Psychologies — журнал","psychologies.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","9979","14300","00:03:16","0.0","1414"
"Россия — государственный телеканал","russia.tv","Новости и СМИ, Новости и СМИ->Телевидение","Представительства бизнесов и организаций","да","9894","12350","00:03:15","0.0","1413"
"Бизнес идеи с нуля, Бизнес планы, Деньги, Как открыть...","businessman.ru","Бизнес->Организация бизнеса, Бизнес","Контентные проекты","да","9515","15150","00:01:41","0.0","1152"
"«Wmj.ru» — женский онлайн-журнал","wmj.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","9492","11850","00:01:57","0.0","1171"
"«Телепрограмма» — онлайн-версия женского журнала","teleprogramma.pro","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","9204","11850","00:01:50","0.0","1235"
"Крупнейший каталог товаров в России - regmarkets.ru","regmarkets.ru","Торговля","Агрегаторы","да","9073","11450","00:01:57","0.0","1078"
"Medi.ru — справочник лекарств","medi.ru","Медицина->Лекарства и медицинские товары, Торговля->Лекарства и медицинские товары, Медицина, Торговля","Контентные проекты","да","8911","11100","00:01:10","0.0","1110"
"«Regnum» — федеральное информационное агентство","regnum.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","8865","11450","00:01:13","0.0","1138"
"Яндекс.Радио — музыкальный сервис","radio.yandex.ru","Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Сервисы","да","8778","11500","02:42:23","0.5845410628019324","3160"
