"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Iamcook — пошаговые рецепты с фото","iamcook.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","2447","3050","00:02:03","0.0","290"
"Calorizator.ru — портал о здоровом питании","calorizator.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Здоровый образ жизни","Контентные проекты","да","2443","3150","00:01:36","0.0","350"
"«Forumhouse.ru» — форум для дома и дачи","forumhouse.ru","Строительство и ремонт->Советы и рекомендации по строительству, Строительство и ремонт","Сообщества","да","2439","3250","00:10:06","0.0","364"
"Medi.ru — справочник лекарств","medi.ru","Медицина->Лекарства и медицинские товары, Торговля->Лекарства и медицинские товары, Медицина, Торговля","Контентные проекты","да","2405","3050","00:01:41","0.0","318"
"78.ru | Официальный сайт телеканала | Новости политики...","78.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","2324","2900","00:01:00","0.0","272"
"Яндекс.Диалоги — доверьте общение с клиентами Алисе","dialogs.yandex.ru","Услуги","Сервисы","да","2323","3150","00:01:00","0.0","281"
"Актуальные новости","actualnews.org","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","2241","2800","00:00:45","0.0","285"
"«Myslo.ru» — тульский городской портал","myslo.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","2241","2800","00:02:30","0.0","318"
"Cataloxy - каталог фирм и организаций, бесплатное...","cataloxy.ru","Бизнес->Реклама и маркетинг, Бизнес","Агрегаторы","да","2240","2800","00:01:42","0.0","267"
"Туристер.Ру — туристическая социальная сеть","tourister.ru","Путешествия","Контентные проекты","да","2158","2600","00:00:46","0.0","258"
"Строительный портал Центральный полигон Centro-pol.ru","centro-pol.ru","Строительство и ремонт->Строительные материалы и оборудование, Строительство и ремонт","Контентные проекты","да","2116","2600","00:01:37","0.0","267"
"Купить билеты на междугородний автобус онлайн...","yandex.ru/bus","","Сервисы","да","2099","2900","00:06:40","0.10416666666666669","293"
"Marie Claire — женский онлайн-журнал","marieclaire.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","2032","2600","00:02:42","0.0","239"
"1001 гороскоп — астрологический портал","1001goroskop.ru","Развлечения и отдых","Контентные проекты","да","2024","2600","00:04:44","0.0","417"
"Elle girl — журнал для девушек","ellegirl.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","1992","2800","00:01:41","0.0","267"
"Алиса — ваш голосовой помощник, созданный в Яндексе","alice.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","1950","2550","00:01:35","0.0","244"
"ОПТИМИСТ - не жалею, не зову, не плачу.","oppps.ru","Справочные ресурсы","Контентные проекты","да","1950","2400","00:01:00","0.0","244"
"Педагогическое сообщество «Урок.рф»","урок.рф","Образование->Сайты педагогов, Образование","Контентные проекты","да","1950","2400","00:01:25","0.0","221"
"101 отель — служба бронирования гостиниц","101hotels.ru","Путешествия->Гостиницы, отели и кемпинги, Путешествия","Агрегаторы","да","1907","2350","00:02:38","0.0","234"
"«Вести Экономика» — аналитические материалы","vestifinance.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Новости","да","1906","2550","00:03:00","0.0","244"
"HipDir — заведения и услуги Москвы","hipdir.com","Справочные ресурсы","Агрегаторы","да","1784","2300","00:02:24","0.0","216"
"Online812.ru - Город 812 — сетевой журнал","online812.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","1743","2100","00:00:53","0.0","198"
"Вокруг света — познавательный портал","vokrugsveta.ru","Путешествия->Страны, города, достопримечательности, Путешествия","Контентные проекты","да","1743","2300","00:01:27","0.0","235"
"«Муз-ТВ» — музыкально-развлекательный телеканал","muz-tv.ru","Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Видео","да","1734","2200","00:01:17","0.0","234"
"АвтоТочки — справочник автолюбителя","avtotochki.ru","Авто и мото, Авто и мото->Автомобили","Агрегаторы","да","1701","2100","00:01:29","0.0","193"
"Новости ДНР, ЛНР, Мира и Украины. Новостной Фронт","news-front.info","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","1701","2200","00:03:31","0.0","285"
"Женский журнал NeoLove.RU, а так же бесплатный сайт...","neolove.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","1698","2200","00:07:27","0.0","207"
"Poezdato.net - расписание поездов и электричек в России...","poezdato.net","Путешествия->Авиа и ж/д билеты, Путешествия","Агрегаторы","да","1660","2050","00:03:11","0.0","207"
"«Newsland» — новостная социальная сеть","newsland.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","1618","2100","00:01:00","0.0","193"
"Look at me — сайт о креативных индустриях","lookatme.ru","Новости и СМИ, Новости и СМИ->Новости технологий","Контентные проекты","да","1615","2000","00:00:18","0.0","193"
"Последние новости Москвы, события и все развлечения...","moslenta.ru","Новости и СМИ","Новости","да","1577","2050","00:00:51","0.0","230"
"Аптека тяньши: Здоровый образ жизни, альтернативная...","tiensmed.ru","Медицина->Альтернативная медицина, Медицина","Контентные проекты","да","1577","1950","00:01:05","0.0","179"
"SnatchNews - новостной портал","sntch.com","Новости и СМИ","Новости","да","1574","2100","00:01:04","0.0","188"
"ОТЗЫВ.Ру: Отзывы туристов | Новинки кино | Авто отзывы","otzyv.ru","Путешествия->Туры и экскурсии, Путешествия","Сообщества","да","1565","2050","00:02:08","0.0","202"
"«Авторамблер» — автомобильный портал","autorambler.ru","Авто и мото->Издания об автомобилях, Авто и мото, Новости и СМИ->Издания об автомобилях, Новости и СМИ","Контентные проекты","да","1535","1900","00:01:45","0.0","189"
"Официальный сайт женского журнала «Лиза» – Lisa.ru","lisa.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","1535","1850","00:01:57","0.0","184"
"Секрет фирмы — интернет-журнал о бизнесе","secretmag.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Контентные проекты","да","1535","1850","00:03:21","0.0","212"
"Конт — платформа для социальной журналистики","cont.ws","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Сообщества","да","1531","2050","00:24:55","0.0","266"
"Водоснабжение и канализация дома, квартиры...","vodakanazer.ru","Строительство и ремонт","Контентные проекты","да","1494","1800","00:01:34","0.0","189"
"«Woman Hit» — женский онлайн-журнал","womanhit.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","1494","1800","00:01:24","0.0","179"
"«Fanat1k.ru» — сайт болельщиков «Спартака»","fanat1k.ru","","Контентные проекты","да","1468","2500","01:34:10","0.0","527"
"Сделай сам своими руками - поделки и мастер-классы","sdelaysam-svoimirukami.ru","Справочные ресурсы","Контентные проекты","да","1452","1750","00:02:49","0.0","198"
"«Vogue» — журнал","vogue.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","1452","1850","00:01:49","0.0","170"
"Клео — ежедневный женский сетевой журнал","kleo.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","1369","1750","00:01:10","0.0","170"
"«Летидор» — портал для активных родителей","letidor.ru","Семья и дети, Семья и дети->Развитие и воспитание детей","Контентные проекты","да","1369","1650","00:01:51","0.0","170"
"Справочник минимальных цен Москвы","minimum-price.ru","","Контентные проекты","да","1369","1750","00:01:18","0.0","170"
"АгроСервер.ру — информационная поддержка сельского...","agroserver.ru","Промышленность и сельское хозяйство->Сельское хозяйство, Промышленность и сельское хозяйство","Агрегаторы","да","1368","1850","00:07:14","0.0","189"
"Фактрум — познавательный блог","factroom.ru","Развлечения и отдых, Развлечения и отдых->Юмор и Комиксы","Контентные проекты","да","1322","1700","00:01:09","0.0","170"
"Инфоцентр AfterShock • Каким будет завтра?","aftershock.news","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","1318","1900","00:20:05","0.0","239"
"Прайм — агентство экономической информации","1prime.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Новости","да","1286","1650","00:01:22","0.0","179"
"Независимое интернет-издание ""ДНИ24""","dni24.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","1286","1700","00:00:33","0.0","152"
"Машинтоп - автомобильный портал","mashintop.ru","Авто и мото, Авто и мото->Автомобили","Контентные проекты","да","1245","1650","00:02:53","0.0","147"
"«НГС.Красноярск» — городской портал Красноярска","ngs24.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","1242","1550","00:01:03","0.0","147"
"«Glamour» — интернет-версия женского журнала","glamour.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","1191","1600","00:01:53","0.0","156"
"Игры онлайн на 146% бесплатно","game01.ru","Развлечения и отдых->Игры, Развлечения и отдых","Онлайн-игры","да","1156","1550","00:11:23","0.0","175"
"Погода в России. Точный прогноз на сегодня, завтра...","weather.rambler.ru","Справочные ресурсы, Справочные ресурсы->Погода","Сервисы","да","1117","1450","00:01:18","0.0","170"
"Пасьянсы онлайн: «Косынка», «Паук», «Коврик» и другие.","razlozhi.ru","Развлечения и отдых->Компьютерные игры, Развлечения и отдых","Онлайн-игры","да","1113","1400","03:11:14","0.0","339"
"«Анекдотов.net» — развлекательный портал","anekdotov.net","Развлечения и отдых, Развлечения и отдых->Юмор и Комиксы","Контентные проекты","да","1079","1400","00:24:49","0.0","244"
"ДомКадров.ру: поиск работы, поиск сотрудников","domkadrov.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","1079","1300","00:03:33","0.0","129"
"Вести ФМ — радиостанция","radiovesti.ru","Новости и СМИ","Новости","да","1079","1500","00:03:47","0.0","170"
"Русская весна | Только проверенная информация","rusvesna.su","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","1075","1400","00:17:46","0.0","253"
"Все об интерактивных развлечениях – Рамблер/игры","games.rambler.ru","Развлечения и отдых->Игры, Развлечения и отдых","Онлайн-игры","да","1037","1350","00:06:43","0.0","175"
"Клуб любителей дачи 7dach.ru","7dach.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Сообщества","да","996","1200","00:00:45","0.0","129"
"«Cars.ru» — автопортал","cars.ru","Авто и мото, Авто и мото->Автомобили","Агрегаторы","да","996","1200","00:01:14","0.0","124"
"«CarsGuru.net» — автомобильный портал","carsguru.net","Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Торговля","Агрегаторы","да","996","1200","00:01:07","0.0","115"
"Строительство деревянных домов и коттеджей из бруса...","build-experts.ru","Строительство и ремонт->Строительное проектирование и технадзор, Строительство и ремонт","Контентные проекты","да","954","1200","00:01:28","0.0","115"
"«Ufa1.ru» — информационный портал Уфы","ufa1.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","954","1200","00:01:11","0.0","106"
"«Доктор Питер» — информационный сайт о здоровье","doctorpiter.ru","Медицина->Медицинские услуги, Услуги->Медицинские услуги, Услуги, Медицина","Контентные проекты","да","913","1200","00:00:48","0.0","106"
"Зачатие, беременность, роды и ребенок на сайте для мам...","mama66.ru","Семья и дети->Беременность и роды, Семья и дети","Сообщества","да","913","1100","00:01:00","0.0","101"
"«Gorod48.ru» — информационный портал г. Липецка","gorod48.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","891","1400","00:10:53","0.0","215"
"«F1news.ru» — новости Формулы 1","f1news.ru","Авто и мото->Издания об автомобилях, Авто и мото, Новости и СМИ->Издания об автомобилях, Новости и СМИ","Новости","да","887","1350","00:20:33","0.0","312"
"Журнал об экологии Экосевер","ecosever.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","871","1050","00:00:40","0.0","96"
"«Новые автомобили» — автомобильный портал","njcar.ru","Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Торговля","Агрегаторы","да","871","1050","00:02:00","0.0","119"
"Бизнес-справочник ""UNFALL""","unfall.ru","Бизнес->Организация бизнеса, Бизнес","Контентные проекты","да","871","1050","00:01:32","0.0","119"
"Новости Воронежа и Воронежской области | Последние...","vestivrn.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","871","1100","00:00:32","0.0","110"
"«Rambler News Service» — информационное агентство","rns.online","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","869","1150","00:02:11","0.0","124"
"Кулинарные рецепты и мастер классы - Алимеро","alimero.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","830","1000","00:03:25","0.0","106"
"FrequentFlyers.ru – Сайт для продвинутых авиапассажиров","frequentflyers.ru","Путешествия->Авиа и ж/д билеты, Путешествия","Новости","да","830","1050","00:02:04","0.0","124"
"Рамблер/поиск","nova.rambler.ru","","Сервисы","да","830","1150","00:10:52","0.0","152"
"«Культура» — телевизионный канал","tvkultura.ru","Новости и СМИ, Новости и СМИ->Телевидение","Представительства бизнесов и организаций","да","830","1050","00:03:11","0.0","106"
"«V1.ru» — информационный портал Волгограда","v1.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","830","1000","00:01:26","0.0","106"
"«Yoki.Ru» — развлекательный портал","yoki.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","830","1000","00:00:40","0.0","101"
"Новости Перми - 59.ru главные новости сегодня","59.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","788","950","00:01:20","0.0","101"
"Идеономика – Умные о главном","ideanomics.ru","Бизнес","Контентные проекты","да","788","950","00:02:58","0.0","124"
"Поплавок","poplawok.ru","Развлечения и отдых, Развлечения и отдых->Хобби","Контентные проекты","да","788","950","00:00:31","0.0","101"
"Auto.dmir.ru (Автомобили и цены)","autodmir.ru","Авто и мото, Авто и мото->Автомобили","Агрегаторы","да","778","1050","00:03:43","0.0","100"
"Веб Телеграмм онлайн с прокси, proxy для России.","телеграмм.онлайн","Услуги","Социальные сети","да","774","1050","00:42:31","0.0","225"
"«74.ру» — челябинский портал","74.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","747","1100","00:00:54","0.0","87"
"Макспарк - Гайдпарк — социальная сеть","maxpark.com","Новости и СМИ, Новости и СМИ->Газеты, журналы","Социальные сети","да","747","950","00:01:11","0.0","87"
"Интересные новости OAnews","oane.ws","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","747","900","00:00:32","0.0","83"
"Яндекс.Календарь — онлайн-органайзер","calendar.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","744","950","00:19:14","0.0","156"
"Тест-драйвы авто, видео, новости, отзывы на 4R.ru","4r.ru","Авто и мото, Авто и мото->Автомобили","Контентные проекты","да","705","850","00:02:09","0.0","92"
"INMYROOM – Все о дизайне интерьера, свежие идеи...","inmyroom.ru","Строительство и ремонт->Дизайн интерьера, Строительство и ремонт","Контентные проекты","да","705","850","00:02:06","0.0","78"
"Идеи вашего дома — журнал о ремонте и дизайне","ivd.ru","Домашнее хозяйство->Товары для дома и интерьера, Домашнее хозяйство","Контентные проекты","да","705","850","00:04:00","0.0","87"
"PartPrice.ru - Сервис сравнения цен и отзывов...","partprice.ru","","Агрегаторы","да","705","900","00:01:11","0.0","78"
"Женский портал Woman365.ru","woman365.ru","Домашнее хозяйство","Контентные проекты","да","705","850","00:01:00","0.0","78"
"«Cорок семь новостей из Ленинградской области»","47news.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","664","800","00:00:22","0.0","73"
"«63.ru» — сайт для жителей Самарской области","63.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","664","800","00:01:50","0.0","73"
"Бесплатные объявления России - Доска объявлений Gde.ru","gde.ru","Услуги","Агрегаторы","да","664","900","00:02:42","0.0","78"
"Гражданину.com | Налоги и право для физических лиц","grazhdaninu.com","Государство и общество, Государство и общество->Законодательство","Контентные проекты","да","664","850","00:00:54","0.0","78"
"Журнал о здоровье MedPulse.Ru","medpulse.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Здоровый образ жизни, Медицина","Контентные проекты","да","664","850","00:00:42","0.0","73"
"«MyLove.ru» — сайт знакомств","mylove.ru","Развлечения и отдых->Знакомства и общение, Развлечения и отдых","Социальные сети","да","664","850","00:34:17","0.0","152"
"НУ И ПОГОДА: Погода в России и Мире. Точный прогноз...","nuipogoda.ru","Справочные ресурсы, Справочные ресурсы->Погода","Сервисы","да","664","800","00:01:24","0.0","106"
"Здоровьесберегающий сайт","polismed.com","Медицина->Болезни, Медицина","Контентные проекты","да","664","800","00:01:12","0.0","78"
"Дом 2 последние новости и слухи на 6 дней раньше – Шлок","schlock.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Новости","да","664","850","00:03:21","0.0","96"
"Неизведанный мир магии и эзотерики","tayniymir.com","Непознанное->Мистика и эзотерика, Непознанное","Контентные проекты","да","664","850","00:01:13","0.0","83"
"«72.ru» — Тюменский портал","72.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","622","750","00:00:50","0.0","83"
"Главная - Агроному.com","agronomu.com","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","622","800","00:02:00","0.0","69"
"Полезные советы на все случаи жизни, для дома, сада...","nashsovetik.ru","Домашнее хозяйство","Контентные проекты","да","622","750","00:01:46","0.0","83"
"Bouw.ru - строительный портал","bouw.ru","Строительство и ремонт->Советы и рекомендации по строительству, Строительство и ремонт","Контентные проекты","да","581","750","00:00:47","0.0","69"
"Своими руками - Поделись своими работами!","cpykami.ru","Развлечения и отдых, Развлечения и отдых->Хобби","Контентные проекты","да","581","700","00:01:23","0.0","73"
"«Стройпортал.ру» — отраслевой портал","stroyportal.ru","Строительство и ремонт->Строительные материалы и оборудование, Строительство и ремонт","Контентные проекты","да","581","750","00:00:57","0.0","64"
"Живи — велнес-портал","jv.ru","Спорт и активный образ жизни->Фитнес и бодибилдинг, Здоровье, красота, стиль, Спорт и активный образ жизни, Здоровье, красота, стиль->Фитнес и бодибилдинг","Контентные проекты","да","539","650","00:00:41","0.0","69"
"Охотники.ру — портал для любителей охоты","ohotniki.ru","Развлечения и отдых, Развлечения и отдых->Хобби","Контентные проекты","да","539","750","00:03:24","0.0","73"
"Журнал о здоровье Здоровый дух","pora.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Здоровый образ жизни","Контентные проекты","да","539","650","00:00:40","0.0","64"
"Детские пособия в 2018 году - вся информация о выплатах...","posobie-expert.ru","Государство и общество, Государство и общество->Органы социальной защиты","Контентные проекты","да","539","650","00:00:51","0.0","59"
"«Tatler» — журнал о светской жизни и знаменитостях","tatler.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","539","650","00:01:26","0.0","64"
"Сделано у нас - Нам есть чем гордиться! - Сделано у нас","sdelanounas.ru","Новости и СМИ, Новости и СМИ->Новости технологий","Контентные проекты","да","536","700","00:13:34","0.0","95"
"DIWIS | Женский журнал. Последние новости ДОМ...","diwis.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","498","600","00:00:24","0.0","55"
"Глобус24 - образование для всех","globuss24.ru","Образование->Учебно-методические материалы, Образование","Контентные проекты","да","498","650","00:01:31","0.0","55"
"«Зайцев.FM» — музыкальная онлайн-радиостанция","zaycev.fm","Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Сервисы","да","498","650","00:02:22","0.0","73"
"«161.ru» — информационный портал Ростова-на-Дону","161.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","456","550","00:01:01","0.0","55"
"«76.ru» — городской портал Ярославля","76.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","456","550","00:01:34","0.0","64"
"Яндекс.Фотки — хостинг фотографий","fotki.yandex.ru","","Сервисы","да","456","700","00:00:49","0.0","55"
"Женский интернет-журнал","greatlove.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","456","600","00:00:47","0.0","55"
"Вести-Кузбасс","vesti42.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","456","550","00:00:51","0.0","50"
"Сайт знакомств 24open.ru — «24open.ru» — сайт знакомств","24open.ru","Развлечения и отдых->Знакомства и общение, Развлечения и отдых","Сообщества","да","415","500","00:09:25","0.0","115"
"Новости Архангельска - 29.ru главные новости сегодня","29.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","415","500","00:00:37","0.0","46"
"Фермилон: дача, сад, огород, фермерство, земледелие","fermilon.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","415","550","00:02:41","0.0","50"
"«Клопс.ru» — калининградский новостной портал","klops.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","415","500","00:00:25","0.0","46"
"«Косметиста» — сообщество о косметике","kosmetista.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Косметика","Сообщества","да","415","500","00:10:19","0.0","69"
"Невседома - жизнь полна развлечений","nevsedoma.com.ua","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Видео","да","415","500","00:03:22","0.0","59"
"Orchardo.ru - создайте участок вашей мечты...","orchardo.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","415","500","00:02:09","0.0","50"
"«Orsk.ru» — информационно-развлекательный портал","orsk.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","415","500","00:05:34","0.0","59"
"«Burdastyle.ru» — мода своими руками","burdastyle.ru","Здоровье, красота, стиль->Одежда, обувь, аксессуары, Здоровье, красота, стиль, Торговля->Одежда, обувь, аксессуары, Торговля","Контентные проекты","да","410","550","00:02:50","0.0","55"
"«Камелот» — доска объявлений","cmlt.ru","Торговля","Агрегаторы","да","405","550","00:12:06","0.0","73"
"Секреты домоводства – полезные советы хозяйкам","hozsekretiki.ru","Домашнее хозяйство","Контентные проекты","да","373","450","00:02:34","0.0","41"
"ОКО ПЛАНЕТЫ информационно-аналитический портал","oko-planet.su","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","373","450","00:01:31","0.0","59"
"Папарацци.ру - новости шоу-бизнеса","paparazzi.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","373","450","00:01:04","0.0","41"
"«Счастливые родители» — энциклопедия материнства","parents.ru","Семья и дети, Семья и дети->Развитие и воспитание детей","Контентные проекты","да","373","450","00:00:28","0.0","59"
"Недвижимость RealtyMag — 2 011 986 объектов на...","realtymag.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","373","500","00:06:03","0.0","46"
"Сберометр - курс доллара и евро на завтра","sberometer.ru","Финансы->Финансовые рынки, Финансы","Сервисы","да","373","450","00:07:47","0.0","73"
"«InoPressa» — материалы зарубежной прессы","inopressa.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","332","400","00:00:21","0.0","36"
"Газета Труд : Труд — общественно-политическая газета","trud.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","332","400","00:00:28","0.0","36"
"Architectural digest | AD Magazine","admagazine.ru","Строительство и ремонт->Дизайн интерьера, Культура и искусство, Строительство и ремонт, Новости и СМИ","Контентные проекты","да","326","450","00:01:09","0.0","40"
"Hi-Fi and High End аудиотехника","hi-fi.ru","Техника и технологии, Техника и технологии->Аудио и видео техника","Контентные проекты","да","290","350","00:00:29","0.0","32"
"«NaMenu.ru» — кулинарный сайт","namenu.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","290","350","00:00:16","0.0","32"
"Ремонт квартир, офисов, домов","repairshome.ru","Строительство и ремонт->Советы и рекомендации по строительству, Строительство и ремонт","Контентные проекты","да","290","350","00:01:36","0.0","36"
"Тарифы 2018 года для Билайн, МТС, Мегафон...","tarifam.ru","Техника и технологии, Техника и технологии->Телефония и мобильная связь","Контентные проекты","да","290","400","00:01:47","0.0","36"
"ГТРК «Владивосток»— приморское телевидение и радио","vestiprim.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","290","400","00:00:35","0.0","41"
"Рецепты с фото","ej-ka.net","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","249","300","00:00:29","0.0","32"
"Рамблер/помощь","help.rambler.ru","Справочные ресурсы","Контентные проекты","да","249","350","00:04:17","0.0","32"
"Тенденции и тренды женской моды на 2018 год: пальто...","moddam.ru","Здоровье, красота, стиль->Гид по стилю, советы и уроки, Здоровье, красота, стиль","Контентные проекты","да","249","300","00:03:33","0.0","27"
"Яндекс.Путешествия — сервис поиска туров и отелей","travel.yandex.ru","Путешествия->Туры и экскурсии, Путешествия","Агрегаторы","да","249","350","00:02:14","0.0","27"
"Женский журнал Женомания. Сайт для девушек и женщин","zhenomaniya.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","249","300","00:00:41","0.0","32"
"Ответы на сканворды и кроссворды онлайн.","crossopen.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Сервисы","да","207","250","00:00:21","0.0","23"
"ГТРК ""Дон-ТР"" — Дон-ТР — телерадиокомпания","dontr.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","207","250","00:00:24","0.0","23"
"Гай.рф - городской портал","gts.tv","","Новости","да","207","250","00:00:21","0.0","23"
"Энциклопедия лекарственных растений: подробный...","herbalpedia.ru","Здоровье, красота, стиль, Медицина->Витамины и БАДы, Здоровье, красота, стиль->Витамины и БАДы, Медицина","Контентные проекты","да","207","250","00:00:21","0.0","23"
"Инструкции и отзывы к лекарственным препаратам","instrukciya-otzyvy.ru","Медицина->Лекарства и медицинские товары, Торговля->Лекарства и медицинские товары, Медицина, Торговля","Контентные проекты","да","207","250","00:01:08","0.0","23"
"Moneytimes.Ru: Интернет-журнал о финансах","moneytimes.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Новости","да","207","250","00:00:56","0.0","32"
"«Новый Калининград.ru» — городской портал","newkaliningrad.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","207","350","00:02:36","0.0","23"
"Доска объявлений России ПК01 - бесплатные объявления...","pc01.ru","Справочные ресурсы","Агрегаторы","да","207","300","00:05:05","0.0","50"
"«Goodwill» — автоматизация бизнеса","programmist1s.ru","Торговля","Представительства бизнесов и организаций","да","207","300","00:03:38","0.0","23"
"«Маяк» — радиовещательная компания","radiomayak.ru","Новости и СМИ","Новости","да","207","250","00:01:54","0.0","32"
