"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«Газета.ru» — интернет-газета","gazeta.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","32845","44550","00:03:15","0.0","5409"
"Яндекс.Телепрограмма — программа телепередач","tv.yandex.ru","Развлечения и отдых","Сервисы","да","32568","47150","00:10:43","0.0","7595"
"Лучшие публикации за сутки / Хабр","habr.com","Техника и технологии, Техника и технологии->Программирование и разработка ПО","Сообщества","да","29773","44600","00:10:50","0.0","6490"
"«Russia Today» — телеканал","rt.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","29688","40950","00:02:56","0.0","5420"
"Московский Комсомолец (МК) — газета","mk.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","28857","38150","00:02:59","0.0","4838"
"Форум программистов и сисадминов Киберфорум","cyberforum.ru","Техника и технологии, Техника и технологии->Программирование и разработка ПО","Сообщества","да","28114","46200","00:09:14","0.0","4855"
"Амальгама — лингво-лаборатория","amalgama-lab.com","Образование->Иностранные языки, Образование","Контентные проекты","да","27055","36650","00:03:28","0.0","4246"
"«Афиша» — культура и развлечения","afisha.ru","Развлечения и отдых, Развлечения и отдых->Афиша и продажа билетов","Сервисы","да","24900","33150","00:03:16","0.0","3584"
"«Gismeteo.ru» — прогноз погоды","gismeteo.ru","Справочные ресурсы, Справочные ресурсы->Погода","Сервисы","да","24238","33600","00:05:48","0.0","5417"
"«Life.ru» — информационный портал","life.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","24184","31450","00:02:58","0.0","3950"
"«Woman.ru» — всероссийский женский портал","woman.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","23917","31700","00:02:15","0.0","3082"
"«Аргументы и факты» — газета | aif.ru","aif.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","22754","28500","00:01:00","0.0","2900"
"«Известия.Ru» — ежедневная газета | IZ.RU","iz.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","21439","28250","00:01:30","0.0","3217"
"«IRecommend.ru» — интернет-сервис обмена опытом","irecommend.ru","Справочные ресурсы","Сообщества","да","20226","26550","00:03:41","0.0","2668"
"Вокруг ТВ — портал о телевидении","vokrug.tv","Развлечения и отдых","Контентные проекты","да","19361","24500","00:01:12","0.0","2430"
"Коммерсантъ — издательский дом","kommersant.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","18383","24050","00:04:01","0.0","2781"
"КиберЛенинка предоставляет возможность читать тексты...","cyberleninka.ru","Образование->Учебно-методические материалы, Образование","Сервисы","да","17225","23200","00:05:13","0.0","2571"
"«The Village» — городская интернет-газета","the-village.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","15060","19550","00:03:52","0.0","2482"
"«Спорт-экспресс» — спортивный портал","sport-express.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","14657","20050","00:17:14","0.02654867256637168","2868"
"Ростелеком - информационный портал об услугах доступа в интернет, Интерактивного ТВ и телефонной связи","rt.ru","Услуги","Представительства бизнесов и организаций","да","13704","18250","00:04:11","0.0","2026"
"Мужской журнал MAXIM Online. Официальный сайт...","maximonline.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","13215","17300","00:04:27","0.0","1888"
"«Кино-театр.ру» — портал о кино и театре","kino-teatr.ru","Культура и искусство, Культура и искусство->Кино","Новости","да","13188","16800","00:02:16","0.0","1751"
