"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«Известия.Ru» — ежедневная газета | IZ.RU","iz.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","250171","381200","00:02:33","0.0","16996"
"Лучшие публикации за сутки / Хабр","habr.com","Техника и технологии, Техника и технологии->Программирование и разработка ПО","Сообщества","да","245219","466850","00:25:19","0.0","31637"
"Яндекс.Афиша — афиша мероприятий","afisha.yandex.ru","","Сервисы","да","242739","402100","00:13:02","0.06609300622482607","16112"
"«Едадил» — акции и скидки в магазинах","edadeal.ru","Торговля","Агрегаторы","да","239983","310100","00:39:20","0.9074173369079536","31443"
"4pda - мобильные устройства и технологии","4pda.ru","Техника и технологии, Техника и технологии->Мобильный контент","Контентные проекты","да","235572","438050","00:35:41","0.0","25279"
"Wi-fi.ru — информационно-развлекательный портал","wi-fi.ru","Новости и СМИ","Новости","да","232984","386500","01:15:06","0.0","40707"
"«Gismeteo.ru» — прогноз погоды","gismeteo.ru","Справочные ресурсы, Справочные ресурсы->Погода","Сервисы","да","228645","369650","00:14:31","0.0","27238"
"Яндекс.Телепрограмма — программа телепередач","tv.yandex.ru","Развлечения и отдых","Сервисы","да","209014","363450","00:18:47","0.0","24529"
"Яндекс.Коллекции","yandex.ru/collections","","Сервисы","да","179558","257750","00:09:52","0.0","14958"
"«Афиша» — культура и развлечения","afisha.ru","","Сервисы","да","171060","255900","00:05:44","0.0","10747"
"«Звезда» — телерадиокомпания","tvzvezda.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","166562","235050","00:01:57","0.0","9112"
"«Аргументы и факты» — газета | aif.ru","aif.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","163201","230050","00:01:45","0.0","7689"
"«IRecommend.ru» — интернет-сервис обмена опытом","irecommend.ru","Справочные ресурсы","Сообщества","да","154802","224850","00:06:11","0.0","7640"
"«НТВ» — телекомпания","ntv.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","142983","199700","00:06:58","0.04046957059005251","7975"
"«Эхо Москвы» — радиостанция","echo.msk.ru","Новости и СМИ","Новости","да","139918","214600","00:16:39","0.0","12377"
"Найдем тех, кто даст ответы на ваши вопросы. Более 200...","thequestion.ru","Новости и СМИ","Сообщества","да","139406","204100","00:05:09","0.0","8944"
