"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Справочник организаций Россиии и СНГ - адреса...","jsprav.ru","Справочные ресурсы, Справочные ресурсы->Почтовые индексы и телефонные коды","Контентные проекты","да","24312","31400","00:01:41","0.0","905"
"«Новые автомобили» — автомобильный портал","njcar.ru","Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Торговля","Агрегаторы","да","24181","31500","00:01:52","0.0","1164"
"DISGUSTING MEN. Отвратительные мужики. 18+","disgustingmen.com","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","24079","35350","00:09:02","0.0","1928"
"Новости ДНР, ЛНР, Мира и Украины. Новостной Фронт","news-front.info","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","23753","31250","00:02:03","0.0","1201"
"Дом солнца — эзотерический портал","sunhome.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","23171","30850","00:02:42","0.0","907"
"Wonderzine — онлайн-издание для девушек","wonderzine.com","Здоровье, красота, стиль->Гид по стилю, советы и уроки, Здоровье, красота, стиль","Контентные проекты","да","22987","31100","00:03:32","0.0","1065"
"Актуальные новости","actualnews.org","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","22324","29100","00:00:36","0.0","943"
"Алиса — ваш голосовой помощник, созданный в Яндексе","alice.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","22208","29500","00:01:01","0.0","778"
"Независимое интернет-издание ""ДНИ24""","dni24.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","21913","28150","00:00:31","0.0","941"
"Инфоцентр AfterShock • Каким будет завтра?","aftershock.news","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","21583","29550","00:29:19","0.0","1640"
"Официальный сайт женского журнала «Лиза» – Lisa.ru","lisa.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","21558","27150","00:01:27","0.0","840"
"Яндекс.Путешествия — сервис поиска туров и отелей","travel.yandex.ru","Путешествия->Туры и экскурсии, Путешествия","Агрегаторы","да","20890","27850","00:03:05","0.0","790"
"«CarsGuru.net» — автомобильный портал","carsguru.net","Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Торговля","Агрегаторы","да","20395","25800","00:01:01","0.0","777"
"«Rambler News Service» — информационное агентство","rns.online","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","20060","26400","00:01:26","0.0","733"
"«F1news.ru» — новости Формулы 1","f1news.ru","Авто и мото->Издания об автомобилях, Авто и мото, Новости и СМИ->Издания об автомобилях, Новости и СМИ","Новости","да","20039","41750","01:01:33","0.0","4944"
"ELLE.ru – мода, красота, тренды, звезды, отношения","elle.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","19960","28050","00:02:43","0.0","797"
"Online812.ru - Город 812 — сетевой журнал","online812.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","19861","25100","00:01:26","0.0","773"
"«74.ру» — челябинский портал","74.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","19789","27000","00:02:11","0.0","812"
"Русская весна | Только проверенная информация","rusvesna.su","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","19347","28850","00:56:57","0.0","1850"
"101 отель — служба бронирования гостиниц","101hotels.ru","Путешествия->Гостиницы, отели и кемпинги, Путешествия","Агрегаторы","да","18888","24600","00:04:17","0.0","744"
"«Аргументы недели» — еженедельная газета","argumenti.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","18874","24850","00:01:19","0.0","843"
"HipDir — заведения и услуги Москвы","hipdir.com","Справочные ресурсы","Агрегаторы","да","18789","24750","00:01:40","0.0","671"
"«Myslo.ru» — тульский городской портал","myslo.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","18663","26400","00:07:31","0.0","1318"
"Вокруг света — познавательный портал","vokrugsveta.ru","Путешествия->Страны, города, достопримечательности, Путешествия","Контентные проекты","да","17873","24100","00:01:59","0.0","774"
"«Woman Hit» — женский онлайн-журнал","womanhit.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","17691","22450","00:01:16","0.0","673"
"«Стройпортал.ру» — отраслевой портал","stroyportal.ru","Строительство и ремонт->Строительные материалы и оборудование, Строительство и ремонт","Контентные проекты","да","17477","23650","00:02:01","0.0","702"
"Яндекс.Толока - заработок в интернете без вложений","toloka.yandex.ru","Работа и карьера->Работа в интернете, Работа и карьера","Сервисы","да","17147","25250","01:06:46","0.6477832512315271","1161"
"Avrorra.com - Ежедневный журнал о красоте, моде, стиле...","avrorra.com","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","16750","21150","00:01:18","0.0","742"
"«Time Out» — развлекательный журнал","timeout.ru","Развлечения и отдых, Развлечения и отдых->Афиша и продажа билетов","Контентные проекты","да","16666","22050","00:01:45","0.0","669"
"Своими руками - Поделись своими работами!","cpykami.ru","Развлечения и отдых, Развлечения и отдых->Хобби","Контентные проекты","да","16448","20950","00:01:29","0.0","625"
"«Fanat1k.ru» — сайт болельщиков «Спартака»","fanat1k.ru","","Контентные проекты","да","16020","35450","03:59:48","0.0","3571"
"Водоснабжение и канализация дома, квартиры...","vodakanazer.ru","Строительство и ремонт","Контентные проекты","да","15982","20250","00:01:30","0.0","654"
"Строительный портал Центральный полигон Centro-pol.ru","centro-pol.ru","Строительство и ремонт->Строительные материалы и оборудование, Строительство и ремонт","Контентные проекты","да","15585","19700","00:01:16","0.0","626"
"Calorizator.ru — портал о здоровом питании","calorizator.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Здоровый образ жизни","Контентные проекты","да","15545","20550","00:02:02","0.0","692"
"Бизнес-справочник ""UNFALL""","unfall.ru","Бизнес->Организация бизнеса, Бизнес","Контентные проекты","да","15331","20000","00:00:50","0.0","635"
"«Муз-ТВ» — музыкально-развлекательный телеканал","muz-tv.ru","Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Видео","да","15118","19750","00:01:11","0.0","709"
"ОПТИМИСТ - не жалею, не зову, не плачу.","oppps.ru","Справочные ресурсы","Контентные проекты","да","15078","19300","00:01:43","0.0","756"
"Конт — платформа для социальной журналистики","cont.ws","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Сообщества","да","15016","20450","00:59:32","0.0","1363"
"БезФормата.Ru - Новости | Новости города | Лента","bezformata.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","15001","20000","00:01:29","0.0","544"
"«Gorod48.ru» — информационный портал г. Липецка","gorod48.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","14325","21650","00:23:54","0.0","1486"
"Прайм — агентство экономической информации","1prime.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Новости","да","14305","19150","00:02:22","0.0","705"
"Аптека тяньши: Здоровый образ жизни, альтернативная...","tiensmed.ru","Медицина->Лекарства и медицинские товары, Торговля->Лекарства и медицинские товары, Медицина, Торговля","Контентные проекты","да","14054","18600","00:01:11","0.0","539"
"Гражданину.com | Налоги и право для физических лиц","grazhdaninu.com","Государство и общество, Государство и общество->Законодательство","Контентные проекты","да","13850","17250","00:00:56","0.0","500"
"НеБолеем.net – портал о медицине и здоровом образе...","neboleem.net","Медицина->Болезни, Медицина","Контентные проекты","да","13829","18100","00:00:49","0.0","503"
"Тест-драйвы авто, видео, новости, отзывы на 4R.ru","4r.ru","Авто и мото, Авто и мото->Автомобили","Контентные проекты","да","13340","17950","00:03:27","0.0","634"
"Сделай сам своими руками - поделки и мастер-классы","sdelaysam-svoimirukami.ru","Справочные ресурсы","Контентные проекты","да","12927","16400","00:03:05","0.0","590"
"INMYROOM – Все о дизайне интерьера, свежие идеи...","inmyroom.ru","Строительство и ремонт->Дизайн интерьера, Строительство и ремонт","Контентные проекты","да","12867","18550","00:04:32","0.0","620"
"Рамблер/поиск","nova.rambler.ru","","Сервисы","да","12833","20150","00:43:58","0.0","1365"
"Клуб любителей дачи 7dach.ru","7dach.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Сообщества","да","12510","16350","00:01:40","0.0","480"
"«72.ru» — Тюменский портал","72.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","12357","15950","00:01:15","0.0","491"
"Строительство деревянных домов и коттеджей из бруса...","build-experts.ru","Строительство и ремонт->Строительное проектирование и технадзор, Строительство и ремонт","Контентные проекты","да","12143","15350","00:01:07","0.0","459"
"Сделано у нас - Нам есть чем гордиться! - Сделано у нас","sdelanounas.ru","Новости и СМИ, Новости и СМИ->Новости технологий","Контентные проекты","да","12044","17000","00:15:31","0.0","909"
"Iamcook — пошаговые рецепты с фото","iamcook.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","12018","15450","00:02:03","0.0","456"
"«Goodwill» — автоматизация бизнеса","programmist1s.ru","Торговля","Представительства бизнесов и организаций","да","11579","17400","00:04:06","0.0","781"
"«НГС.Красноярск» — городской портал Красноярска","ngs24.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","11473","15050","00:02:00","0.0","499"
"«Newsland» — новостная социальная сеть","newsland.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","11417","16900","00:05:08","0.0","460"
"Справочник минимальных цен Москвы","minimum-price.ru","","Контентные проекты","да","11309","14800","00:01:48","0.0","428"
"«V1.ru» — информационный портал Волгограда","v1.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","11148","14350","00:02:02","0.0","511"
"Новости Уфы и Республики Башкортостан: GTRK.TV","gtrk.tv","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","11113","14000","00:00:56","0.0","515"
"Яндекс.Календарь — онлайн-органайзер","calendar.yandex.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","11044","15850","00:09:01","0.0","697"
"Bouw.ru - строительный портал","bouw.ru","Строительство и ремонт->Советы и рекомендации по строительству, Строительство и ремонт","Контентные проекты","да","10868","14400","00:01:11","0.0","409"
"Охотники.ру — портал для любителей охоты","ohotniki.ru","Развлечения и отдых, Развлечения и отдых->Хобби","Контентные проекты","да","10806","14500","00:02:51","0.0","495"
"Elle girl — журнал для девушек","ellegirl.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","10682","15950","00:01:12","0.0","399"
"FrequentFlyers.ru – Сайт для продвинутых авиапассажиров","frequentflyers.ru","Путешествия->Авиа и ж/д билеты, Путешествия","Новости","да","10673","13750","00:01:01","0.0","473"
"SnatchNews - новостной портал","sntch.com","Новости и СМИ","Новости","да","10665","14300","00:01:44","0.0","422"
"«InoPressa» — материалы зарубежной прессы","inopressa.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","10636","14400","00:04:38","0.0","675"
"«Зарплата.ру» — база резюме и вакансий","zarplata.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","10575","14800","00:06:35","0.0","490"
"Фактрум — познавательный блог","factroom.ru","Развлечения и отдых, Развлечения и отдых->Юмор и Комиксы","Контентные проекты","да","10399","13500","00:01:34","0.0","426"
"«Летидор» — портал для активных родителей","letidor.ru","Семья и дети, Семья и дети->Развитие и воспитание детей","Контентные проекты","да","10388","13400","00:02:29","0.0","397"
"Купить билеты на междугородний автобус онлайн...","yandex.ru/bus","","Сервисы","да","10335","13950","00:04:06","0.1350210970464135","395"
"Look at me — сайт о креативных индустриях","lookatme.ru","Новости и СМИ, Новости и СМИ->Новости технологий","Контентные проекты","да","10222","13650","00:00:28","0.0","386"
"ГТРК «Владивосток»— приморское телевидение и радио","vestiprim.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","10118","12600","00:00:49","0.0","427"
"Скачать взломанные игры и моды на Андроид бесплатно","alpha-ag.ru","Развлечения и отдых->Игры, Развлечения и отдых","Контентные проекты","да","10014","14600","00:04:20","0.0","430"
"Зачатие, беременность, роды и ребенок на сайте для мам...","mama66.ru","Семья и дети->Беременность и роды, Семья и дети","Сообщества","да","9978","12950","00:00:51","0.0","382"
"Интересные новости OAnews","oane.ws","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","9902","13200","00:00:29","0.0","394"
"Погода в России. Точный прогноз на сегодня, завтра...","weather.rambler.ru","Справочные ресурсы, Справочные ресурсы->Погода","Сервисы","да","9822","13900","00:01:59","0.0","714"
"Вести ФМ — радиостанция","radiovesti.ru","Новости и СМИ","Новости","да","9809","13750","00:06:57","0.0","849"
"Marie Claire — женский онлайн-журнал","marieclaire.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","9644","13300","00:04:20","0.0","398"
"Женский журнал NeoLove.RU, а так же бесплатный сайт...","neolove.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","9374","11800","00:03:00","0.0","323"
"«Культура» — телевизионный канал","tvkultura.ru","Новости и СМИ, Новости и СМИ->Телевидение","Представительства бизнесов и организаций","да","9338","12450","00:04:12","0.0","449"
"Детские пособия в 2018 году - вся информация о выплатах...","posobie-expert.ru","Государство и общество, Государство и общество->Органы социальной защиты","Контентные проекты","да","9263","11800","00:03:26","0.0","343"
"«Анекдотов.net» — развлекательный портал","anekdotov.net","Развлечения и отдых, Развлечения и отдых->Юмор и Комиксы","Контентные проекты","да","9116","13000","00:42:15","0.0","829"
"«Cорок семь новостей из Ленинградской области»","47news.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","8998","11250","00:02:20","0.0","423"
"Идеи вашего дома — журнал о ремонте и дизайне","ivd.ru","Домашнее хозяйство->Товары для дома и интерьера, Домашнее хозяйство","Контентные проекты","да","8982","11500","00:02:39","0.0","368"
"Новости Воронежа и Воронежской области | Последние...","vestivrn.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","8944","11600","00:02:51","0.0","572"
"1001 гороскоп — астрологический портал","1001goroskop.ru","Развлечения и отдых","Контентные проекты","да","8731","12450","00:06:20","0.0","732"
"Макспарк - Гайдпарк — социальная сеть","maxpark.com","Новости и СМИ, Новости и СМИ->Газеты, журналы","Социальные сети","да","8624","10900","00:01:25","0.0","310"
"Бесплатные объявления России - Доска объявлений Gde.ru","gde.ru","Услуги","Агрегаторы","да","8572","11400","00:02:11","0.0","309"
"Клео — ежедневный женский сетевой журнал","kleo.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","8503","11100","00:00:46","0.0","302"
"Новости Перми - 59.ru главные новости сегодня","59.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","8496","10800","00:01:43","0.0","314"
"Центр управления финансами","center-yf.ru","Справочные ресурсы, Справочные ресурсы->Энциклопедии","Контентные проекты","да","8276","10600","00:02:40","0.0","319"
"Главная - Агроному.com","agronomu.com","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","8042","10300","00:01:32","0.0","290"
"Hi-Fi and High End аудиотехника","hi-fi.ru","Техника и технологии, Техника и технологии->Аудио и видео техника","Контентные проекты","да","7982","11200","00:05:43","0.0","431"
"«Vogue» — журнал","vogue.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","7971","10500","00:06:14","0.0","373"
"«Glamour» — интернет-версия женского журнала","glamour.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","7960","10200","00:02:06","0.0","319"
"«Tatler» — журнал о светской жизни и знаменитостях","tatler.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","7830","9900","00:01:04","0.0","297"
"Поплавок","poplawok.ru","Развлечения и отдых, Развлечения и отдых->Хобби","Контентные проекты","да","7799","9650","00:00:42","0.0","294"
"В городе N — портал Нижнего Новгорода","vgoroden.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","7753","10050","00:01:16","0.0","319"
"Читать мангу на Русском онлайн. Свежие переводы.","readmanga.me","Развлечения и отдых, Развлечения и отдых->Юмор и Комиксы","Контентные проекты","да","7724","13000","01:37:41","0.0","1140"
"«Cars.ru» — автопортал","cars.ru","Авто и мото, Авто и мото->Автомобили","Агрегаторы","да","7507","10400","00:01:53","0.0","274"
"Яндекс.Фотки — хостинг фотографий","fotki.yandex.ru","","Сервисы","да","7481","11450","00:03:37","0.0","295"
"Сберометр - курс доллара и евро на завтра","sberometer.ru","Финансы->Финансовые рынки, Финансы","Сервисы","да","7404","10900","00:19:10","0.0","1019"
"Веб Телеграмм онлайн с прокси, proxy для России.","телеграмм.онлайн","Услуги","Социальные сети","да","7397","12600","02:51:43","0.0","996"
"«Yoki.Ru» — развлекательный портал","yoki.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","7259","9000","00:01:08","0.0","283"
"Идеономика – Умные о главном","ideanomics.ru","Бизнес","Контентные проекты","да","7234","9400","00:04:50","0.0","515"
"«Клопс.ru» — калининградский новостной портал","klops.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","7201","9600","00:01:53","0.0","300"
"DIWIS | Женский журнал. Последние новости ДОМ...","diwis.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","6930","8800","00:00:42","0.0","235"
"«Зайцев.FM» — музыкальная онлайн-радиостанция","zaycev.fm","Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Сервисы","да","6911","9350","00:05:58","0.0","481"
"«MyLove.ru» — сайт знакомств","mylove.ru","Развлечения и отдых->Знакомства и общение, Развлечения и отдых","Социальные сети","да","6769","10650","00:42:23","0.0","474"
"«Маяк» — радиовещательная компания","radiomayak.ru","Новости и СМИ","Новости","да","6714","9350","00:06:25","0.0","528"
"«161.ru» — информационный портал Ростова-на-Дону","161.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","6662","8700","00:01:41","0.0","284"
"НГС.Омск — городской портал","ngs55.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","6509","8150","00:01:16","0.0","239"
"«Ufa1.ru» — информационный портал Уфы","ufa1.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","6498","9000","00:01:49","0.0","287"
"«63.ru» — сайт для жителей Самарской области","63.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","6462","8900","00:01:27","0.0","272"
"Живи — велнес-портал","jv.ru","Спорт и активный образ жизни->Фитнес и бодибилдинг, Здоровье, красота, стиль, Спорт и активный образ жизни, Здоровье, красота, стиль->Фитнес и бодибилдинг","Контентные проекты","да","6423","8200","00:01:55","0.0","254"
"«Доктор Питер» — информационный сайт о здоровье","doctorpiter.ru","Медицина->Медицинские услуги, Услуги->Медицинские услуги, Услуги, Медицина","Контентные проекты","да","6381","8050","00:00:34","0.0","236"
"Все о рынке 3D печати на 3DList.ru Россия.","3dlist.ru","","Контентные проекты","да","6220","8050","00:01:17","0.0","220"
"Педагогическое сообщество «Урок.рф»","урок.рф","Образование->Сайты педагогов, Образование","Контентные проекты","да","6079","8100","00:02:30","0.0","274"
"Все об интерактивных развлечениях – Рамблер/игры","games.rambler.ru","Развлечения и отдых->Игры, Развлечения и отдых","Онлайн-игры","да","5781","8100","00:02:18","0.0","267"
"Женский портал Woman365.ru","woman365.ru","Домашнее хозяйство","Контентные проекты","да","5597","6950","00:01:27","0.0","201"
"«Новый Калининград.ru» — городской портал","newkaliningrad.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","5592","7050","00:02:16","0.0","249"
"Журнал о здоровье Здоровый дух","pora.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Здоровый образ жизни","Контентные проекты","да","5434","6750","00:00:50","0.0","196"
"Скрытые друзья ВКонтакте в открытом доступе","220vk.com","","Сервисы","да","5309","9350","00:42:37","0.0","688"
"Кулинарные рецепты и мастер классы - Алимеро","alimero.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","5226","6550","00:02:24","0.0","195"
"Auto.dmir.ru (Автомобили и цены)","autodmir.ru","Авто и мото, Авто и мото->Автомобили","Агрегаторы","да","5211","7250","00:03:42","0.0","189"
"Здоровьесберегающий сайт","polismed.com","Медицина->Болезни, Медицина","Контентные проекты","да","5168","7050","00:01:14","0.0","218"
"Poezdato.net - расписание поездов и электричек в России...","poezdato.net","Путешествия->Авиа и ж/д билеты, Путешествия","Агрегаторы","да","4876","6200","00:02:35","0.0","215"
"Architectural digest | AD Magazine","admagazine.ru","Строительство и ремонт->Дизайн интерьера, Культура и искусство, Строительство и ремонт, Новости и СМИ","Контентные проекты","да","4830","6400","00:02:49","0.0","237"
"Игры онлайн на 146% бесплатно","game01.ru","Развлечения и отдых->Игры, Развлечения и отдых","Онлайн-игры","да","4762","6250","00:22:09","0.0","259"
"Журнал о здоровье MedPulse.Ru","medpulse.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Здоровый образ жизни, Медицина","Контентные проекты","да","4726","6100","00:01:13","0.0","175"
"НУ И ПОГОДА: Погода в России и Мире. Точный прогноз...","nuipogoda.ru","Справочные ресурсы, Справочные ресурсы->Погода","Сервисы","да","4724","5950","00:01:09","0.0","191"
"Пасьянсы онлайн: «Косынка», «Паук», «Коврик» и другие.","razlozhi.ru","Развлечения и отдых->Компьютерные игры, Развлечения и отдых","Онлайн-игры","да","4623","6800","05:12:04","0.0","728"
"Папарацци.ру - новости шоу-бизнеса","paparazzi.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","4440","6100","00:02:20","0.0","171"
"Вести-Кузбасс","vesti42.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","4438","5600","00:00:38","0.0","164"
"Фермилон: дача, сад, огород, фермерство, земледелие","fermilon.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","4399","5500","00:02:25","0.0","160"
"Неизведанный мир магии и эзотерики","tayniymir.com","Непознанное->Мистика и эзотерика, Непознанное","Контентные проекты","да","4391","5550","00:01:36","0.0","176"
"Дом 2 последние новости и слухи на 6 дней раньше – Шлок","schlock.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Новости","да","4305","5600","00:02:28","0.0","208"
"«Косметиста» — сообщество о косметике","kosmetista.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Косметика","Сообщества","да","4223","5450","00:20:14","0.0","255"
"ДомКадров.ру: поиск работы, поиск сотрудников","domkadrov.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","4209","5600","00:02:01","0.0","168"
"«76.ru» — городской портал Ярославля","76.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","4127","5900","00:09:09","0.0","354"
"Недвижимость RealtyMag — 2 011 986 объектов на...","realtymag.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","4062","5500","00:05:23","0.0","153"
"У нас можно читать Мангу для взрослых онлайн на Русском.","mintmanga.com","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","4010","6500","02:06:05","0.0","515"
"Рамблер/помощь","help.rambler.ru","Справочные ресурсы","Контентные проекты","да","3894","5250","00:02:15","0.0","176"
"«Orsk.ru» — информационно-развлекательный портал","orsk.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","3686","4800","00:02:05","0.0","157"
"ГТРК ""Дон-ТР"" — Дон-ТР — телерадиокомпания","dontr.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","3524","4500","00:00:30","0.0","139"
"Газета Труд : Труд — общественно-политическая газета","trud.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","3444","4200","00:00:45","0.0","119"
"Доска объявлений России ПК01 - бесплатные объявления...","pc01.ru","Справочные ресурсы","Агрегаторы","да","3439","4350","00:01:22","0.0","127"
"Стройпортал Mainavi","mainavi.ru","Строительство и ремонт->Советы и рекомендации по строительству, Строительство и ремонт","Контентные проекты","да","3352","4300","00:02:14","0.0","153"
"Инструкции и отзывы к лекарственным препаратам","instrukciya-otzyvy.ru","Медицина->Лекарства и медицинские товары, Торговля->Лекарства и медицинские товары, Медицина, Торговля","Контентные проекты","да","3237","4000","00:00:34","0.0","108"
"N1.Недвижимость","n1.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","3118","4900","00:36:33","0.0","207"
"Новости Архангельска - 29.ru главные новости сегодня","29.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","3026","3700","00:01:26","0.0","125"
"«Burdastyle.ru» — мода своими руками","burdastyle.ru","Здоровье, красота, стиль->Одежда, обувь, аксессуары, Здоровье, красота, стиль, Торговля->Одежда, обувь, аксессуары, Торговля","Контентные проекты","да","2926","4150","00:08:51","0.0","141"
"Рамблер.Топ100 — счётчик","top100.rambler.ru","","Агрегаторы","да","2905","4400","00:04:03","0.0","149"
"Тарифы 2018 года для Билайн, МТС, Мегафон...","tarifam.ru","Техника и технологии, Техника и технологии->Телефония и мобильная связь","Контентные проекты","да","2861","3600","00:00:40","0.0","100"
"ОКО ПЛАНЕТЫ информационно-аналитический портал","oko-planet.su","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","2840","4350","00:16:14","0.0","169"
"«Камелот» — доска объявлений","cmlt.ru","Торговля","Агрегаторы","да","2776","3650","00:04:52","0.0","109"
"«NaMenu.ru» — кулинарный сайт","namenu.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","2613","3200","00:01:23","0.0","95"
"«Счастливые родители» — энциклопедия материнства","parents.ru","Семья и дети, Семья и дети->Развитие и воспитание детей","Контентные проекты","да","2609","3650","00:01:04","0.0","96"
"Orchardo.ru - создайте участок вашей мечты...","orchardo.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","2527","3150","00:00:50","0.0","92"
"Сайт знакомств 24open.ru — «24open.ru» — сайт знакомств","24open.ru","Развлечения и отдых->Знакомства и общение, Развлечения и отдых","Сообщества","да","2363","3900","01:32:30","0.0","378"
"Невседома - жизнь полна развлечений","nevsedoma.com.ua","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Видео","да","2197","2850","00:01:30","0.0","76"
"Панорамы, поиск по изображениям... — Рамблер/картинки","images.rambler.ru","Культура и искусство","Сервисы","да","2156","2900","00:05:37","0.0","152"
