"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«Cosmopolitan Россия» — женский журнал","cosmo.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","161951","238850","00:07:33","0.0","11517"
"Вокруг ТВ — портал о телевидении","vokrug.tv","Развлечения и отдых","Контентные проекты","да","155466","219750","00:03:01","0.0","8538"
"Wi-fi.ru — информационно-развлекательный портал","wi-fi.ru","Новости и СМИ","Новости","да","155423","246400","01:05:24","0.0","26529"
"«Аргументы и факты» — газета | aif.ru","aif.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","149670","208300","00:01:42","0.0","7326"
"Яндекс.Телепрограмма — программа телепередач","tv.yandex.ru","Развлечения и отдых","Сервисы","да","143594","236500","00:18:43","0.0","16318"
"«Wday.ru» — информационный женский портал","wday.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","140227","218300","00:05:04","0.0","7087"
"Коммерсантъ — издательский дом","kommersant.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","137778","210050","00:08:25","0.0","9413"
"«The Village» — городская интернет-газета","the-village.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","135025","219600","00:08:25","0.0","11766"
"«Известия.Ru» — ежедневная газета | IZ.RU","iz.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","131710","190800","00:02:04","0.0","7761"
"«Ярмарка Мастеров» — гипермаркет авторских работ","livemaster.ru","Здоровье, красота, стиль->Одежда, обувь, аксессуары, Здоровье, красота, стиль, Торговля->Одежда, обувь, аксессуары, Торговля","Интернет-магазины","да","129210","198050","00:22:51","0.0","9422"
"Starhit.ru — портал о жизни звезд","starhit.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","129197","197850","00:07:22","0.0","10986"
"«Life.ru» — информационный портал","life.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","127055","184650","00:11:09","0.0","10329"
"Rlsnet.ru — энциклопедия лекарств","rlsnet.ru","Справочные ресурсы, Справочные ресурсы->Энциклопедии","Контентные проекты","да","123851","174850","00:04:42","0.0","8263"
"Женский журнал WomanAdvice.ru - советы на все случаи...","womanadvice.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","122133","166750","00:03:10","0.0","6305"
"«РЕН ТВ» — телеканал","ren.tv","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","118408","173750","00:02:29","0.0","6831"
"Чемпионат.com: новости спорта - Чемпионат","championat.com","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","116154","171800","00:17:28","0.0","8748"
"«Узнай все» — ежедневное электронное издание","uznayvse.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","111248","153950","00:02:06","0.0","5241"
"«Повар.ру» — кулинарные рецепты","povar.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","110420","149550","00:03:17","0.0","5954"
"«Еда» — кулинарный портал","eda.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","105290","144650","00:03:28","0.0","5413"
"Яндекс.Недвижимость — система поиска недвижимости","realty.yandex.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","103633","153800","00:28:03","0.2819015846538782","8175"
"«НТВ» — телекомпания","ntv.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","102512","141950","00:09:18","0.04064352243861134","6126"
"Тонкости туризма — энциклопедия для туристов","tonkosti.ru","Путешествия->Туры и экскурсии, Путешествия","Контентные проекты","да","102163","146400","00:04:20","0.0","5240"
"«Кино-театр.ру» — портал о кино и театре","kino-teatr.ru","Культура и искусство, Культура и искусство->Кино","Новости","да","93759","129500","00:04:22","0.0","4643"
"SYL.ru","syl.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","90173","123300","00:01:56","0.0","3662"
"«Телепрограмма» — онлайн-версия женского журнала","teleprogramma.pro","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","87957","120450","00:02:36","0.0","4916"
"«Passion.ru» — онлайн-журнал для женщин","passion.ru","Здоровье, красота, стиль","Контентные проекты","да","84804","114400","00:03:03","0.0","4246"
"«LiveInternet» — сервис для блоггеров","liveinternet.ru","","Контентные проекты","да","84157","117800","00:05:54","0.0","4706"
"Drive2.ru — сообщество автовладельцев","drive2.ru","Авто и мото, Авто и мото->Автомобили","Сообщества","да","82433","119950","00:20:11","0.020964360587002098","5810"
"Амальгама — лингво-лаборатория","amalgama-lab.com","Образование->Иностранные языки, Образование","Контентные проекты","да","82370","117750","00:05:15","0.0","5151"
"«Спорт-экспресс» — спортивный портал","sport-express.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","79908","114400","00:16:47","0.008616047388260635","5609"
"Найдем тех, кто даст ответы на ваши вопросы. Более 200...","thequestion.ru","Новости и СМИ","Сообщества","да","78226","108750","00:03:45","0.0","4434"
"«Сплетник» — сайт о знаменитостях и светской жизни","spletnik.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Контентные проекты","да","77787","140450","00:55:36","0.0","8828"
"«Sports.ru» — спортивный портал","sports.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","76132","116750","00:42:57","0.14080459770114942","9365"
"Туристер.Ру — туристическая социальная сеть","tourister.ru","Путешествия","Контентные проекты","да","73302","103200","00:02:51","0.0","3377"
"Крупнейший каталог товаров в России - regmarkets.ru","regmarkets.ru","Торговля","Агрегаторы","да","72981","98500","00:02:37","0.0","3139"
"MSN Россия | Новости, фото, погода, Skype и Outlook","msn.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","72841","109600","01:03:33","0.0","12747"
"Экспресс газета - сетевое издание | EG.RU","eg.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","71553","96350","00:02:27","0.0","3638"
"Яндекс.Район — не пропустите полезное рядом","yandex.ru/local","Справочные ресурсы, Справочные ресурсы->Карты и схемы","Сообщества","да","71359","109000","00:06:09","0.0","5640"
"КиберЛенинка предоставляет возможность читать тексты...","cyberleninka.ru","Образование->Учебно-методические материалы, Образование","Сервисы","да","71252","109800","00:07:40","0.0","4524"
"ELLE.ru – мода, красота, тренды, звезды, отношения","elle.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","70848","105400","00:06:25","0.0","4147"
"Дни.ру – влиятельная российская интернет-газета","dni.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","69047","94550","00:06:37","0.0","5607"
"«Звезда» — телерадиокомпания","tvzvezda.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","67573","89950","00:01:27","0.0","3160"
"Яндекс.Авиабилеты — поиск авиабилетов","avia.yandex.ru","Путешествия->Авиа и ж/д билеты, Путешествия","Агрегаторы","да","67032","101550","00:15:44","0.11032258064516128","4413"
"Лучшие публикации за сутки / Хабр","habr.com","Техника и технологии, Техника и технологии->Программирование и разработка ПО","Сообщества","да","66023","99000","00:08:02","0.0","4936"
"Сравни.ру — выбор услуг банков и автострахования","sravni.ru","Финансы->Финансовые рынки, Финансы","Агрегаторы","да","65938","88750","00:02:17","0.0","2888"
"«Эхо Москвы» — радиостанция","echo.msk.ru","Новости и СМИ","Новости","да","65719","93250","00:15:16","0.0","4984"
"«Пятый канал» — официальный сайт телерадиокомпании","5-tv.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","64716","86550","00:01:22","0.0","2919"
"«Regnum» — федеральное информационное агентство","regnum.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","63447","88450","00:01:24","0.0","3097"
"Все новости столицы, России и мира - Вечерняя Москва","vm.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","61838","83850","00:01:20","0.0","2929"
